GLOBALEVENTID	SQLDATE	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_FullName	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_FullName	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_FullName	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	DATEADDED	SOURCEURL
1006739232	20210929	202109	2021	2021.737	ZAF	CAPE TOWN	ZAF																		0	040	040	04	1	1.0	2	1	2	-8.37887067395266	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20210929161500	https://www.news24.com/news24/southafrica/news/khayelitsha-sewage-problem-mchunu-says-its-a-violation-of-residents-constitutional-rights-20210929
1006706615	20210929	202109	2021	2021.737	AFR	AFRICA	AFR								CVL	RESIDENTS						CVL			1	141	141	14	3	-6.5	2	1	2	-8.61344537815126	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20210929131500	https://www.iol.co.za/capeargus/news/watch-residents-protest-against-sewage-spills-blockages-in-khayelitsha-1d07eb13-fb79-4840-ba21-58013d714fb5
1012102029	20211101	202111	2021	2021.8247	AFR	AFRICA	AFR								AFRMED	AFRICA	AFR					MED			0	193	193	19	4	-10.0	20	1	10	-8.98379970544919	4	Mandalay, Mandalay, Myanmar	BM	BM08	41806	22.0	96.0833	-427446	4	Mandalay, Mandalay, Myanmar	BM	BM08	41806	22.0	96.0833	-427446	4	Mandalay, Mandalay, Myanmar	BM	BM08	41806	22.0	96.0833	-427446	20211101103000	https://www.iol.co.za/capeargus/news/two-shot-dead-one-injured-after-withdrawing-cash-from-atm-in-mandalay-3d778272-862d-4469-bc8f-f8b58caf7f99
1009417786	20211015	202110	2021	2021.7808	ZAFCVL	WESTERN CAPE	ZAF					CVL			GOV	AUTHORITIES						GOV			1	173	173	17	4	-5.0	4	1	4	-2.41691842900302	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20211015141500	https://www.news24.com/news24/southafrica/news/four-liquor-licence-holders-fined-r50-000-as-western-cape-clams-down-on-transgressions-20211015
870921838	20190906	201909	2019	2019.674	ZAF	CAPE TOWN	ZAF																		1	181	181	18	4	-9.0	2	1	2	-9.79591836734694	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20190906131500	https://www.news24.com/SouthAfrica/News/cape-town-woman-abducted-and-murdered-boyfriend-shot-20190906
1001670918	20210830	202108	2021	2021.6575											AFR	AFRICA	AFR								0	180	180	18	4	-9.0	4	1	4	-9.2814371257485	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20210830144500	https://www.dailysun.co.za/News/burnt-body-found-women-say-theyre-under-attack-20210830
1006732192	20210929	202109	2021	2021.737	GOV	MINIST						GOV			ZAFGOV	CAPE TOWN	ZAF					GOV			0	040	040	04	1	1.0	2	1	2	-7.66550522648084	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20210929154500	https://ewn.co.za/2021/09/29/mchunu-dws-wants-answers-from-coct-over-blocked-overflowing-khayelitsha-sewers
1006737526	20210929	202109	2021	2021.737	AFR	AFRICA	AFR								CVL	RESIDENTS						CVL			1	114	114	11	3	-2.0	2	1	2	-8.37887067395266	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20210929161500	https://www.news24.com/news24/southafrica/news/khayelitsha-sewage-problem-mchunu-says-its-a-violation-of-residents-constitutional-rights-20210929
780161271	20180817	201808	2018	2018.6219	ZAF	CAPE TOWN	ZAF																		1	042	042	04	1	1.9	2	1	2	-4.49101796407186	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20180817191500	https://www.dailymaverick.co.za/article/2018-08-17-activists-re-enact-the-2013-arrest-of-the-sjc10-in-protest-against-gatherings-act/
860362545	20190719	201907	2019	2019.5452	PTY	POLITICIAN																			0	120	120	12	3	-4.0	6	1	6	2.18978102189781	4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	0								4	Khayelitsha, Western Cape, South Africa	SF	SF11	77317	-34.0393	18.6792	-1243454	20190719183000	https://www.iol.co.za/weekend-argus/news/xolani-jack-hailed-as-a-legend-and-icon-at-emotional-memorial-service-29525510
